counterparty_id,counterparty_name,counterparty_type,inflow_cny,outflow_cny,transaction_count
CP-007,杭州某新能源装备有限公司,下游客户,796657955.31,0.0,465
CP-008,宁波华源自动化有限公司,下游客户,610437372.4,0.0,351
CP-009,合肥星拓工业有限公司,下游客户,411462975.86,0.0,225
CP-010,上海凌云智能科技有限公司,下游客户,308853433.43,0.0,183
CP-005,浙江恒远钢材贸易有限公司,原材料供应商,0.0,308429853.81,363
CP-012,工资代发汇总,工资,0.0,279300258.99,64
CP-018,他行归集账户A,他行往来,215597368.85,259668299.64,148
CP-002,苏州德昇伺服科技有限公司,设备供应商,0.0,207407235.17,202
CP-003,宁波精密传动有限公司,设备供应商,0.0,198822295.31,211
CP-001,杭州智联数控设备有限公司,设备供应商,0.0,197275826.58,194
CP-006,江苏华能铝业有限公司,原材料供应商,0.0,196415954.77,232
CP-019,他行归集账户B,他行往来,178053670.97,134189388.47,97
CP-004,上海东启电子科技有限公司,设备供应商,0.0,165956424.73,169
CP-011,国家税费虚拟对手方,税费,0.0,144453527.03,91
CP-014,华东精工自动化设备有限公司,集团内往来,105405942.61,74071639.6,87
CP-013,华东精工智能制造有限公司,集团内往来,80495739.41,90756898.72,87
CP-016,能源服务商A,能源,0.0,40004824.74,149
CP-015,物流服务商A,物流,0.0,33834341.42,194
CP-017,房租/物业服务商,管理费用,0.0,10168663.65,88
