portfolio_id,customer_name,customer_type,relationship_level,priority_score,today_trigger,rm_id,recommended_action
PF-001,华东精工装备集团有限公司,存量,A,92,存款下降+设备付款增加+项目备案+历史承诺逾期,P-RM-001,生成访前准备并预约CFO
PF-002,嘉禾新能源科技有限公司,存量,A,86,无明显新增触发,P-RM-001,安排拜访
PF-003,杭城医药商业集团有限公司,存量,C,38,新中标项目线索,P-RM-001,暂缓
PF-004,浙北新材料股份有限公司,存量,A,36,主管重点客户要求,P-RM-001,补充材料
PF-005,东辰物流供应链有限公司,存量,C,67,存款大额波动,P-RM-001,安排拜访
PF-006,远航汽车零部件有限公司,存量,B,83,近期结算下降,P-RM-001,内部核实
PF-007,钱江数字装备有限公司,存量,B,66,近期结算下降,P-RM-001,电话确认
PF-008,滨江智造科技有限公司,存量,B,42,近期结算下降,P-RM-001,安排拜访
PF-009,海望食品集团有限公司,存量,B,73,无明显新增触发,P-RM-001,电话确认
PF-010,江南城市服务有限公司,存量,B,70,新中标项目线索,P-RM-001,内部核实
PF-011,科瑞半导体设备有限公司,存量,A,75,客户承诺到期,P-RM-001,内部核实
PF-012,新越环保工程有限公司,存量,B,52,近期结算下降,P-RM-001,安排拜访
PF-013,中鼎包装科技有限公司,存量,B,42,续授信材料临近到期,P-RM-001,电话确认
PF-014,长谷精密制造有限公司,存量,B,49,新中标项目线索,P-RM-001,补充材料
PF-015,蓝岸生物科技有限公司,存量,C,78,无明显新增触发,P-RM-001,内部核实
PF-016,云栖软件科技有限公司,存量,A,64,无明显新增触发,P-RM-001,内部核实
PF-017,浙能工业服务有限公司,存量,A,65,主管重点客户要求,P-RM-001,补充材料
PF-018,华丰纺织科技有限公司,存量,A,61,客户承诺到期,P-RM-001,安排拜访
PF-019,瑞兴金属材料有限公司,潜在,B,77,主管重点客户要求,P-RM-001,暂缓
PF-020,安泰工程机械有限公司,潜在,C,53,续授信材料临近到期,P-RM-001,补充材料
PF-021,融川能源设备有限公司,潜在,A,53,近期结算下降,P-RM-001,内部核实
PF-022,天衡电子有限公司,潜在,B,76,无明显新增触发,P-RM-001,内部核实
PF-023,博远医疗器械有限公司,潜在,B,52,无明显新增触发,P-RM-001,暂缓
PF-024,新诚商贸集团有限公司,潜在,B,65,客户承诺到期,P-RM-001,安排拜访
