counterparty_id,name,type,synthetic
CP-001,杭州智联数控设备有限公司,设备供应商,True
CP-002,苏州德昇伺服科技有限公司,设备供应商,True
CP-003,宁波精密传动有限公司,设备供应商,True
CP-004,上海东启电子科技有限公司,设备供应商,True
CP-005,浙江恒远钢材贸易有限公司,原材料供应商,True
CP-006,江苏华能铝业有限公司,原材料供应商,True
CP-007,杭州某新能源装备有限公司,下游客户,True
CP-008,宁波华源自动化有限公司,下游客户,True
CP-009,合肥星拓工业有限公司,下游客户,True
CP-010,上海凌云智能科技有限公司,下游客户,True
CP-011,国家税费虚拟对手方,税费,True
CP-012,工资代发汇总,工资,True
CP-013,华东精工智能制造有限公司,集团内往来,True
CP-014,华东精工自动化设备有限公司,集团内往来,True
CP-015,物流服务商A,物流,True
CP-016,能源服务商A,能源,True
CP-017,房租/物业服务商,管理费用,True
CP-018,他行归集账户A,他行往来,True
CP-019,他行归集账户B,他行往来,True
