period,statement_item,amount_cny,source,evidence_status
2023FY,营业收入,3420000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,营业收入,3880000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,营业收入,4260000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,营业收入,2330000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,营业成本,2736000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,营业成本,3075000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,营业成本,3351000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,营业成本,1810000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,毛利润,684000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,毛利润,805000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,毛利润,909000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,毛利润,520000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,销售费用,145000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,销售费用,162000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,销售费用,180000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,销售费用,95000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,管理费用,198000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,管理费用,214000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,管理费用,231000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,管理费用,121000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,研发费用,116000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,研发费用,142000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,研发费用,168000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,研发费用,96000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,财务费用,42000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
