transaction_id,account_id,customer_entity,date,counterparty,counterparty_type,amount_cny,direction,purpose_summary,channel,product_related_flag,evidence_ref
TXN-2026-0001,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-01,苏州德昇伺服科技有限公司,设备供应商,320000,OUT,货款/材料款,柜面/批量,Y,
TXN-2026-0002,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-02,宁波精密传动有限公司,设备供应商,720000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0003,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-03,苏州德昇伺服科技有限公司,设备供应商,3220000,OUT,货款/材料款,柜面/批量,Y,
TXN-2026-0004,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-04,浙江恒远钢材贸易有限公司,原材料供应商,1390000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0005,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-05,浙江恒远钢材贸易有限公司,原材料供应商,3520000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0006,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-06,内部工资代发,工资,2770000,OUT,货款/材料款,柜面/批量,Y,
TXN-2026-0007,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-07,宁波精密传动有限公司,设备供应商,3770000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0008,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-04-08,浙江恒远钢材贸易有限公司,原材料供应商,1920000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0009,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-09,杭州某新能源装备有限公司,下游客户,1960000,IN,销售回款,网银企业端,N,
TXN-2026-0010,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-10,内部工资代发,工资,2670000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0011,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-11,税务机关,税费,1700000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0012,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-04-12,杭州某新能源装备有限公司,下游客户,3150000,IN,销售回款,柜面/批量,N,
TXN-2026-0013,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-13,浙江恒远钢材贸易有限公司,原材料供应商,1680000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0014,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-14,苏州德昇伺服科技有限公司,设备供应商,2140000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0015,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-15,杭州某新能源装备有限公司,下游客户,1030000,IN,销售回款,柜面/批量,N,
TXN-2026-0016,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-16,上海东启电子科技有限公司,电子元件供应商,3790000,OUT,货款/材料款,网银企业端,N,
